staid,DTW_BGS,X,Y
T445,-0.3,402260.8141,4059525.78
T446,3.23,403255.8298,4056350.726
T447,29.7,396093.7141,4071559.071
T448,6.24,399052.7582,4073087.064
T449,9.91,399608.7511,4069366.959
T450,0.35,397303.7454,4076216.178
T451,5.21,396634.7345,4075759.178
T452,1.51,392526.6798,4076880.286
T453,7.12,392212.6794,4078706.347
T454,2.22,389932.6552,4084240.565
T455,5.05,391614.6949,4090686.722
T456,8.46,393000.7198,4091074.696
T457,13.96,393579.724,4088651.61
T459,2.69,393015.7011,4082941.456
T460,6.33,391792.6825,4083174.49
T461,1.51,392916.6969,4081815.425
T462,2.98,394227.7189,4082530.417
T463,3.78,395455.7384,4082712.395
T464,7.79,395615.7331,4080066.317
T465,2.84,394385.7141,4079819.335
T466,3.51,394728.7313,4084245.455
T467,11.61,394587.7398,4088214.572
T468,6.08,390022,4109292
T469,18.3,387844.7001,4113436.985
T470,10.25,384097.6661,4116369.047
T471,10.8,383528.6564,4117372.056
T472,0.64,383505.652,4118443.057
T473,4.9,385250.6728,4119565.03
T474,7,384573.6592,4121054.041
T475,12.67,382712.6356,4119698.07
T476A,3.07,380560.5935,4121149.106
T478A,2.52,381428.5984,4122550.092
T479,8.11,383136.6227,4123903.076
T480,7.57,381585.5725,4126996.172
T481,9.06,381996.5637,4129782.229
T483,41.34,377625.465,4129699.304
T485,4.74,380423.5131,4131834.305
T486,8.32,383996.6237,4126966.131
T487,4.83,384264.6181,4129236.178
T488,8.7,383725.5879,4132626.263
T489,6.75,382123.5288,4135816.365
T490,2.2,382116.5135,4138207.42
T491,9.67,382988.5343,4138763.415
T492,12.15,381108.4617,4141683.52
T496,4.89,380580,4139783
T497,13.08,378475.399,4139900.532
T498,-0.49,377169.3618,4139909.559
T500,20.12,381132.5138,4134217.347
T501,15.55,378886.4359,4136816.451
T502,6.41,391559.7111,4098767.885
T503,3.27,380201.4436,4140516.512
T504,5.24,390913.6881,4093592.83
T505,12.38,389995.667,4090829.77
T506,-0.29,390104.6653,4088648.699
T507,3.22,391497.685,4086762.606
T508,8.82,395632.7324,4079748.308
T509,0.05,396844.7286,4073043.1
T510,5.76,398051.7325,4066974.929
T511,5.74,396815.7209,4070772.038
T512,1.61,367474.0921,4139557.746
T513,2.57,377319.4023,4135908.459
T546,3.23,393704.6941,4075919.236
T547,27.77,395979.7146,4072216.091
T548,11.22,395365.7096,4073285.131
T550,2.59,395463.7134,4074107.153
T552,3.74,394480.7015,4074644.185
T553,19.58,392520.675,4074792.224
T554,3.02,394200.7016,4076122.232
T555,7.04,395210.7079,4073415.137
T556,28.4,394851.7027,4073247.139
T557,9.9,394550.7005,4073908.163
T562,7.7,396484.7104,4067427.956
T563,23.13,404446.8426,4051635.649
T564,17.48,405098.8403,4051780.642
T565,4.64,389583.6916,4104434.947
T566,7.21,388901.6875,4106856.963
T567,2.09,388669.6939,4109262.969
T568,5.82,388700.6969,4110280.969
T569,20.73,388333.838,4110984.893
T571,24.48,387462.6973,4113282.991
T572,6.76,386479.6909,4114831.007
T573,10.94,382083.51,4138622.43
T574,4.49,381115.4789,4139232.463
T575,7.95,380529.4558,4140140.496
T576,4.27,377334.3495,4141783.601
T577,1.04,379787.4082,4143570.592
T581,2.55,389832.6525,4083533.545
T583,14.27,390246.6636,4086246.62
T584,4.26,391495.6858,4087134.617
T585,5.62,390836.6825,4091280.761
T586,3.68,391223.6936,4093563.82
T587,12.08,391148.7076,4100353.901
T588,10.15,405411.8419,4050010.614
T591,24.2,404895.8421,4051147.637
T592,13.95,405743.8388,4051512.628
T593,9.07,405200.8384,4052762.652
T594,5.34,403155.8308,4056018.723
