OID_,PCL,MEAN,YEAR
111,PLC065,8.616800887244088,2024
112,PLC063,7.102924626449060,2024
113,PLC228,10.554127619816704,2024
114,PLC054,14.125088691711426,2024
115,PLC064,5.649424036343892,2024
116,PLC069,6.861281815697165,2024
117,PLC070,4.936192788575823,2024
118,PLC071,6.983975820374069,2024
119,PLC079,6.507519197463990,2024
120,PLC272,6.023310184478760,2024
121,PLC080,8.179794263839719,2024
122,PLC078,4.994301981396145,2024
123,PLC077,3.673068404197693,2024
124,PLC075,3.563277482986450,2024
125,PLC076,3.942874908447266,2024
126,PLC094,6.410538395245870,2024
127,PLC093,10.017382240295410,2024
128,PLC081,10.541356881459555,2024
129,PLC084,10.695591699509395,2024
130,PLC083,8.828786066600255,2024
131,PLC082,7.494874084697051,2024
132,PLC085,6.870069742202759,2024
133,PLC067,7.662902398542924,2024
134,PLC068,7.600434523362379,2024
135,PLC106,3.022235584259033,2024
136,PLC108,2.309544352924123,2024
137,PLC128,5.689638856384489,2024
138,PLC134,5.570554458086763,2024
139,PLC100,4.365923494100571,2024
140,PLC101,3.443595504760742,2024
141,PLC098,4.855678488568563,2024
142,PLC229,10.699968898997586,2024
143,PLC232,10.381085554758707,2024
144,PLC111,4.861603944197944,2024
145,PLC112,7.836002088362171,2024
146,PLC086,14.377686332253848,2024
147,PLC090,18.964124405126771,2024
148,PLC233,10.676594461713519,2024
149,PLC234,9.387576441611012,2024
150,PLC242,9.330395952860513,2024
151,PLC243,9.635481652759371,2024
152,PLC244,9.827797396429652,2024
153,PLC104,5.348208516836167,2024
154,PLC109,3.800236701965332,2024
155,PLC107,2.313664197921753,2024
156,PLC105,4.013621065351698,2024
157,PLC092,11.685524603899786,2024
158,PLC088,11.792585112831807,2024
159,PLC087,17.390868707136672,2024
160,PLC089,23.491972409761864,2024
161,PLC091,9.811328638516942,2024
162,PLC138,6.517192325336018,2024
163,PLC254,10.225651138707212,2024
164,PLC253,10.144210012335529,2024
165,PLC251,10.253084855921125,2024
166,PLC259,10.249944031238556,2024
167,PLC099,3.874917011003236,2024
168,PLC135,3.295605659484863,2024
169,PLC136,4.913149908185004,2024
170,PLC097,6.495071381330490,2024
171,PLC096,6.212573885917664,2024
172,PLC095,8.473698718207224,2024
173,PLC125,5.145018681235936,2024
174,PLC122,5.514755439758301,2024
175,PLC102,4.849930103008564,2024
176,PLC103,5.930672645568848,2024
